0.324,0.485,0.763,0.601,0.339,0.753,0.473,0.223,0.882,0.734,0.235,0.62,1999,56
0.705,0.765,0.74,0.572,0.37,0.788,0.697,0.32,0.796,0.714,0.466,0.339,1994,56
0.587,0.634,0.297,0.236,0.683,0.628,0.201,0.527,0.821,0.789,0.163,0.685,1964,59
0.682,0.907,0.802,0.078,0.159,0.542,0.512,0.308,0.741,0.407,0.171,0.207,1931,64
0.758,0.696,0.778,0.332,0.838,0.343,0,0.467,0.63,0.742,0.121,0.1,1906,74
0.214,0.242,0.433,0.453,0.656,0.341,0.259,0.199,0.654,0.69,0.177,0.175,1892,78
0.227,0.788,0.29,0.506,0.871,0.279,0.388,0.481,0.666,0.977,0.696,0.576,1892,80
0.733,0.69,0.443,0.295,0.334,0.168,0.267,0.565,0.548,0.795,0.317,0.622,1816,91
0.603,0.325,0.72,0.174,0.731,0.755,0.379,0.574,0.608,0.585,0.14,0.357,1813,96
0.455,0.715,0.148,0.228,0.745,0.329,0.53,0.472,0.259,0.209,0.249,0.438,1796,98
0.238,0.87,0.405,0.751,0.733,0.713,0.219,0.319,0.705,0.719,0.2,0.258,1796,98
0.137,0.898,0.616,0.513,0.524,0.169,0.309,0.358,0.312,0.791,0.328,0.46,1788,99
0.896,0.669,0.313,0.632,0.493,0.805,0.651,0.484,0.914,0.786,0.197,0.388,1784,103
0.742,0.811,0.26,0.389,0.742,0.929,0.732,0.233,0.627,0.534,0.663,0.362,1770,104
0.85,0.876,0.788,0.8,0.681,0.356,0.175,0.509,0.785,0.338,0.219,0.502,1748,104
0.687,0.258,0.398,0.709,0.556,0.195,0.323,0.481,0.772,0.725,0.704,0.255,1738,110
0.7,0.822,0.582,0.756,0.358,0.157,0.192,0.334,0.538,0.729,0.527,0.472,1736,115
0.321,0.708,0.379,0.567,0.691,0.187,0.591,0.777,0.614,0.61,0.245,0.561,1721,122
0.695,0.479,0.308,0.173,0.886,0.266,0.333,0.454,0.194,0.497,0.593,0.329,1713,123
0.753,0.399,0.599,0.565,0.418,0.384,0.596,0.271,0.895,0.712,0.239,0.432,1710,124
0.75,0.282,0.458,0.729,0.446,0,0.112,0.48,0.67,0.828,0.2,0.263,1706,134
0.712,0.826,0.281,0.591,0.758,0.223,0.419,0.46,0.53,0.347,0.233,0.749,1697,137
0.691,0.319,0.104,0.342,0.343,0.281,0.69,0.458,0.708,0.844,0.785,0.249,1651,139
0.386,0.272,0.162,0.376,0.613,0.337,0.48,0.701,0.723,0.693,0.212,0.218,1645,141
0.647,0.526,0.153,0.424,0.448,0.132,0.618,0.711,0.169,0.472,0.664,0.251,1570,141
0.756,0.75,0.487,0.77,0.289,0.176,0.388,0.08,0.757,0.689,0.512,0.423,1537,142
0.418,0.783,0.393,0.373,0.842,0.143,0.234,0.333,0.477,0.16,0.797,0.686,1510,142
0.693,0.748,0.529,0.773,0.849,0.542,0.099,0.783,0.347,0.801,0.828,0.136,1503,144
0.141,0.725,0.328,0.815,0.736,0.289,0.852,0.783,0.635,0.729,0.833,0.568,1470,145
0.726,0.142,0.353,0.534,0.704,0.175,0.526,0.309,0.722,0.106,0.743,0.357,1446,148
0.135,0.668,0.607,0.766,0.76,0.741,0.398,0.644,0.797,0.816,0.195,0.68,1439,148
0.894,0.28,0.295,0.742,0.571,0.252,0.81,0.471,0.599,0.517,0.313,0.287,1430,149
0.197,0.698,0.744,0.514,0.695,0.293,0.15,0.224,0.422,0.366,0.313,0,1427,151
0.689,0.689,0.629,0.38,0.303,0.108,0.438,0.907,0.561,0.719,0.53,0.648,1395,154
0.787,0.801,0.126,0.52,0.2,0.17,0.864,0.441,0.521,0.178,0.594,0.412,1393,154
0.709,0.645,0.564,0.658,0.566,0.191,0.285,0.611,0.37,0.73,0.24,0.195,1387,155
0.615,0.596,0.703,0.237,0.381,0.104,0.158,0.281,0.697,0.243,0.605,0.321,1370,156
