0.652,0.737,0.41,878,301
0.475,0.8,0.811,875,326
0.409,0.51,0.842,865,339
0.474,0.229,0.548,725,485
0.834,0.716,0.711,597,513
0.782,0.935,0.201,552,551
0.554,0.718,0.357,548,559
0.767,0.274,0.616,491,587
0.741,0.899,0.229,454,701
0.767,0.302,0.629,451,704
0.497,0.393,0.478,430,743
0.323,0.682,0.23,384,756
0.334,0.535,0.819,342,765
0.431,0.699,0.767,308,773
0.135,0.812,0.72,306,891
0.333,0.694,0.667,299,990
0.537,0.095,0.736,297,999
0.421,0.569,0.276,288,1051
0.358,0.368,0.61,264,1053
0.312,0.158,0.758,263,1089
0.32,0.648,0.255,244,1130
0.281,0.84,0.537,227,1133
0.325,0.197,0.649,224,1137
0.42,0.358,0.289,224,1140
0.284,0.581,0.329,200,1192
0.856,0.215,0.697,195,1247
0.77,0.147,0.028,153,1248
0.214,0.799,0.286,137,1256
0.258,0.31,0.571,132,1275
0.248,0.741,0.267,115,1283
0.201,0.836,0.294,108,1313
0.277,0.538,0.301,107,1329
0.136,0.876,0.238,99,1335
0.2,0.245,0.784,97,1355
0.285,0.57,0.214,96,1373
0.31,0.283,0.288,95,1382
0.71,0.498,0.448,83,1625
0.205,0.259,0.121,64,1674
0.198,0.148,0.227,60,1794
0.194,0.101,0.292,59,1837
0.22,0.792,0.139,58,1856
0.307,0.167,0.319,57,1862
0.098,0.389,0.369,56,1903
0.142,0.289,0.473,55,1974
0.258,0.275,0.309,54,2317
0.205,0.402,0.104,53,2472
0.309,0.185,0.23,51,2473
0.306,0.314,0.015,51,2810
0.247,0.144,0.652,51,2909
0.267,0.127,0.383,50,2936
0.236,0.706,0.228,50,3000
