0.364,0.801,0.634,0.816,0.507,0.057,0.223,0.82,0.698,0.676,0.827,0.675,0.187,498.0,50.0
0.836,0.627,0.308,0.822,0.034,0.846,0.307,0.795,0.659,0.701,0.382,0.725,0.249,492.0,50.0
0.093,0.526,0.752,0.986,0.237,0.618,0.261,0.394,0.559,0.712,0.206,0.92,0.17,479.0,50.0
0.735,0.224,0.722,0.789,0.268,0.59,0.172,0.817,0.875,0.752,0.387,0.789,0.753,473.0,50.0
0.568,0.165,0.653,0.132,0.088,0.308,0.234,0.502,0.798,0.601,0.11,0.892,0.333,471.0,50.0
0.648,0.667,0.795,0.663,0.362,0.199,0.676,0.53,1.0,0.692,0.773,0.775,0.394,469.0,50.0
0.686,0.369,0.795,0.727,0.26,0.859,0.36,0.594,0.518,0.75,0.247,0.871,0.099,465.0,50.0
0.21,0.269,0.562,0.416,0.307,0.176,0.147,0.825,0.788,0.774,0.175,0.365,0.785,462.0,50.0
0.159,0.27,0.509,0.85,0.285,0.319,0.404,0.799,0.395,1.0,0.409,0.729,0.257,460.0,50.0
0.333,0.303,0.657,0.887,0.229,0.886,0.198,0.782,0.835,0.515,0.489,0.735,0.29,458.0,50.0
0.313,0.501,0.202,0.866,0.711,0.102,0.79,0.801,0.925,0.858,0.799,0.743,0.204,456.0,50.0
0.189,0.71,0.649,0.675,0.231,0.144,0.172,0.688,0.366,0.353,0.209,0.811,0.363,453.0,50.0
0.611,0.428,0.639,0.848,0.199,0.736,0.673,0.687,0.766,0.745,0.752,0.805,0.132,447.0,50.0
0.246,0.741,0.279,0.86,0.032,0.773,0.264,0.809,0.23,0.707,0.714,0.893,0.181,438.0,50.0
0.851,0.776,0.854,0.799,0.239,0.257,0.779,0.55,0.493,0.751,0.866,0.776,0.135,436.0,50.0
0.81,0.652,0.466,0.757,0.554,0.172,0.34,0.844,0.229,0.839,0.769,0.721,0.307,435.0,50.0
0.294,0.322,0.695,0.664,0.252,0.291,0.124,0.665,0.644,0.79,0.113,0.207,0.576,432.0,50.0
0.344,0.245,0.578,0.72,0.192,0.251,0.19,0.766,0.607,0.744,0.389,0.254,0.408,432.0,50.0
0.717,0.422,0.877,0.299,0.244,0.754,0.113,0.898,0.729,0.37,0.637,0.398,0.126,431.0,50.0
0.431,0.789,0.524,0.693,0.68,0.185,0.824,0.73,0.571,0.708,0.769,0.745,0.138,423.0,50.0
0.794,0.665,0.4,0.825,0.267,0.357,0.186,0.573,0.688,0.78,0.875,0.664,0.388,422.0,50.0
0.172,0.233,0.749,0.726,0.27,0.349,0.359,0.78,0.561,0.661,0.179,0.929,0.172,421.0,50.0
0.774,0.256,0.767,0.684,0.142,0.191,0.391,0.325,0.667,0.747,0.36,0.764,0.645,420.0,50.0
