0.722,0.268,0.815,0.267,0,1,299,10
0.726,0.323,0.788,0.149,0,1,292,10
0.807,0.313,0.764,0.41,0,1,290,10
0.767,0.361,0.893,0.286,0,1,286,10
0.597,0.232,0.528,0.25,0,1,286,10
0.713,0.333,0.798,0.258,0,1,284,10
0.735,0.24,0.811,0.3,1,1,280,10
0.786,0.147,0.835,0.55,1,1,276,10
0.391,0.191,0.732,0.133,0,1,274,10
0.276,0.187,0.789,0.166,0,1,272,10
0.839,0.214,0.756,0.671,0,1,270,10
0.703,0.619,0.8,0.191,1,1,268,10
0.666,0.728,0.662,0.251,0,1,263,10
0.462,0.094,0.824,0.24,0,0,263,10
0.194,0.246,0.805,0.379,1,1,262,10
0.738,0.345,0.738,0.353,1,1,262,10
0.333,0.258,0.793,0.331,0,1,257,10
0.793,0.795,0.687,0.381,0,1,252,10
0.858,0.35,0.769,0.085,1,1,245,10
0.775,0.518,0.814,0.538,1,1,244,10
0.745,0.205,0.632,0.169,0,0,242,10
0.817,0.328,0.515,0.349,0,1,240,10
0.772,0.804,0.723,0.167,0,1,240,10
0.604,0.768,0.799,0.114,1,1,236,10
0.256,0.254,0.77,0.297,0,1,234,10
0.359,0.25,0.533,0.179,0,1,233,10
0.339,0.561,0.756,0.177,0,1,231,10
0.777,0.219,0.57,0.555,1,1,229,10
0.594,0.336,0.435,0.16,0,1,227,10
0.774,0.378,0.771,0.718,1,1,226,10
0.734,0.494,0.378,0.683,0,1,221,10
0.84,0.219,0.288,0.093,0,0,220,10
0.565,0.07,0.394,0.926,0,1,216,10
0.453,0.732,0.802,0.29,0,1,216,10
0.839,0.295,0.798,0.527,1,0,214,10
0.687,0.392,0.634,0.303,1,1,214,10
0.712,0.251,0.659,0.239,0,0,209,10
0.184,0.18,0.757,0.628,0,1,208,10
0.602,0.452,0.834,0.586,1,1,207,10
0.205,0.286,0.379,0.295,1,1,206,10
0.56,0.388,0.807,0.59,1,1,206,10
0.372,0.35,0.699,0.276,1,1,205,10
0.518,0.569,0.854,0.479,1,1,204,10
0.665,0.337,0.651,0.763,1,1,203,10
0.47,0.129,0.623,0.209,0,0,202,10
0.764,0.507,0.634,0.409,0,0,198,10
0.164,0.069,0.617,0.289,0,1,196,10
0.51,0.585,0.803,0.476,1,1,195,10
0.733,0.171,0.343,0.246,0,0,193,10
0.655,0.098,0.311,0.415,0,0,192,10
0.411,0.843,0.764,0.204,0,1,186,10
0.861,0.263,0.799,0.31,0,1,183,10
0.853,0.432,0.847,0.326,0,1,181,10
0.288,0.467,0.652,0.193,1,1,181,10
0.258,0.549,0.471,0.807,0,0,180,10
0.24,0.912,0.748,0.135,0,1,179,10
0.274,0.754,0.155,0.734,0,1,177,10
0.735,0.779,0.172,0.713,0,0,177,10
0.635,0.594,0.356,0.802,0,0,177,10
0.118,0.241,0.326,0.69,0,0,175,10
0.188,0.775,0.671,0.345,0,0,174,10
0.233,0.276,0.297,0.84,0,0,174,10
0.162,0.771,0.748,0.766,0,1,174,10
0.774,0.39,0.365,0.551,0,1,173,10
0.32,0.452,0.881,0.647,1,1,173,10
0.338,0.848,0.691,0.492,0,0,172,10
0.164,0.293,0.708,0.339,0,1,170,10
0.269,0.455,0.217,0.78,0,1,170,10
0.146,0.318,0.775,0.799,0,0,168,10
0.281,0.703,0.626,0.319,0,0,167,10
0.182,0.632,0.648,0.853,0,0,165,10
0.244,0.756,0.29,0.72,0,0,164,10
0.611,0.48,0.385,0.849,0,0,162,10
0.184,0.623,0.262,0.812,0,1,161,10
0.58,0.602,0.266,0.653,0,1,161,10
0.769,0.268,0.301,0.592,0,1,159,10
0.574,0.514,0.25,0.793,0,0,157,11
0.854,0.765,0.672,0.767,0,0,157,12
0.198,0.281,0.221,0.724,0,0,156,13
0.253,0.139,0.516,0.437,0,1,156,13
0.533,0.692,0.886,0.893,0,1,155,13
0.416,0.42,0.722,0.438,1,1,155,13
0.777,0.816,0.234,0.861,0,1,155,14
0.542,0.901,0.693,0.58,0,0,154,15
0.127,0.114,0.738,0.628,0,1,153,18
