0.124,0.278,0.523,49.0,1012.0
0.287,0.692,0.753,45.0,1020.0
0.742,0.757,0.296,40.0,1050.0
0.299,0.222,0.662,39.0,1080.0
0.365,0.428,0.255,25.0,1190.0
0.546,0.732,0.201,25.0,1225.0
0.323,0.384,0.203,24.0,1247.0
0.428,0.761,0.347,18.0,1270.0
0.263,0.724,0.383,18.0,1296.0
0.184,0.643,0.104,16.0,1323.0
0.15,0.9,0.099,16.0,1840.0
0.711,0.274,0.392,16.0,1883.0
0.767,0.366,0.695,16.0,2142.0
0.63,0.384,0.874,13.0,2162.0
0.871,0.783,0.77,13.0,2380.0
0.762,0.231,0.066,13.0,2570.0
0.578,0.299,0.712,13.0,2583.0
0.677,0.683,0.776,12.0,3710.0
0.711,0.437,0.223,11.0,3904.0
0.805,0.464,0.092,11.0,4116.0
0.217,0.146,0.233,10.0,4155.0
0.138,0.165,0.494,10.0,4170.0
0.116,0.386,0.741,10.0,4479.0
0.431,0.048,0.766,10.0,4716.0
0.82,0.499,0.445,10.0,5000.0
0.871,0.659,0.425,10.0,5000.0
